WARNING: io_pressure is 2551.1104281386115; tdiff = 9.37670111656189
WARNING: io_pressure is 121705.376942754; tdiff = 1.014343023300171
WARNING: io_pressure is 174537.2959111831; tdiff = 1.0016827583312988
WARNING: io_pressure is 32536.630121127135; tdiff = 1.0012714862823486
WARNING: io_pressure is 2881.6138889776216; tdiff = 1.000133991241455
WARNING: io_pressure is 3325.7597443574573; tdiff = 1.0000722408294678
WARNING: io_pressure is 3848.9268322230687; tdiff = 0.9997591972351074
WARNING: io_pressure is 1395.5779757016428; tdiff = 1.013200283050537
WARNING: io_pressure is 4820.208483755892; tdiff = 1.0918614864349365
WARNING: io_pressure is 17631.381677995465; tdiff = 1.0158591270446777
WARNING: io_pressure is 2.2122961132377212; tdiff = 1.3560571670532227
WARNING: io_pressure is 60280.75957332687; tdiff = 0.4249448776245117
WARNING: io_pressure is 64245.93966747499; tdiff = 1.0059001445770264
WARNING: io_pressure is 5808.605588765886; tdiff = 1.092172622680664
WARNING: io_pressure is 11235.512268996583; tdiff = 1.0037815570831299
WARNING: io_pressure is 6137.574163307924; tdiff = 1.1017382144927979
WARNING: io_pressure is 1966.4713074373474; tdiff = 1.0317974090576172
WARNING: io_pressure is 378073.2110360914; tdiff = 1.0908575057983398
WARNING: io_pressure is 176377.3007827791; tdiff = 1.0859787464141846
WARNING: io_pressure is 200.60281703613364; tdiff = 1.006964921951294
WARNING: io_pressure is 18.482299574492167; tdiff = 1.028010606765747
WARNING: io_pressure is 30.593532788774528; tdiff = 0.9805994033813477
WARNING: io_pressure is 2371.7820642323773; tdiff = 0.937269926071167
WARNING: io_pressure is 5173.847566012242; tdiff = 1.046030044555664
WARNING: io_pressure is 34353.65132263428; tdiff = 1.0454201698303223
WARNING: io_pressure is 26436.266000576863; tdiff = 1.0018434524536133
WARNING: io_pressure is 47152.36108553043; tdiff = 1.0065879821777344
WARNING: io_pressure is 71566.66497484402; tdiff = 1.0123987197875977
WARNING: io_pressure is 94196.82649206738; tdiff = 1.0572755336761475
